visualization,record_id,label,x,y,source_text,interpretation_use
SVD_2D_text_notes,0,healthy,0.53127149289031,-0.03716111922791508,steady monthly weight gain strong appetite normal activity balanced growth,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,1,healthy,0.41676796910580266,-0.14567275056226922,height and weight progress consistent with age no warning signs,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,2,healthy,0.04128875835347257,0.18289887455091347,good muscle tone stable chest development regular feeding routine,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,3,healthy,0.25989964516178643,0.32713304376470737,growth curve remains within expected range energetic and active,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,4,monitor,0.44610804251538666,-0.18108371524498645,weight increased faster than height review diet and activity,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,5,monitor,0.14712457378121938,0.6343041538117578,temporary slowdown in growth check feeding schedule next month,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,6,monitor,0.12545015309854904,-0.05014803617398875,chest measurement changed quickly compare with previous records,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,7,monitor,0.14216246799579554,0.6020608861670325,mild asymmetry in growth notes requires follow up observation,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,8,risk,0.5409770929539948,-0.27065859072265624,rapid weight gain with low activity possible overweight risk,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,9,risk,0.29972938247900344,0.23484644695835322,growth stagnation and reduced appetite veterinary consultation recommended,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,10,risk,0.14823063356558525,0.17648786254434762,large deviation from expected curve repeated warning measurements,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
SVD_2D_text_notes,11,risk,0.3516119054288752,-0.1538299718980029,low weight progression and fatigue signal potential health concern,"Inspect whether healthy, monitor and risk notes separate in latent semantic space."
PCA_2D_numeric_reference,0,setosa,-2.2647028088075887,0.48002659652098995,built-in numeric reference dataset used for projection methodology,Reference visualization for how PCA separates numeric classes after scaling.
PCA_2D_numeric_reference,1,setosa,-2.0809611519657674,-0.6741335566053527,built-in numeric reference dataset used for projection methodology,Reference visualization for how PCA separates numeric classes after scaling.
